Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Name English,Name English Under Index,Primary Index Related
1,1,AYU,vyAdhi-viniScayaH,vyādhi-viniścayaḥ,व्याधि-विनिश्चयः,-,-,-,diagnostic conditions,-,-
2,2,DIS,vikAraH,vikāraḥ,विकारः,-,-,-,disease/disorder,-,-
3,3,A,doShavaiShamyam,dōṣavaiṣamyam,दोषवैषम्यम्,-,-,-,derangement of dōṣa,-,-
4,4,AA,vAtavyAdhiH,vātavyādhiḥ,वातव्याधिः,-,-,-,disorders due to vāta,-,-
5,5,AAA,doShAvasthA (vAta),dōṣāvasthā (vāta),दोषावस्था (वात),-,-,-,morbid state of dōṣa,-,-
6,6,SR11 (AAA-1),vAtasa~jcayaH,(a) vātasañcayaḥ,वातसञ्चयः,-,"It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation.",-,Accumulation of Vata pattern (TM2),-,Primary
7,7,SR12 (AAA-2),vAtavRuddhiH,(a) vātavṛddhiḥ,वातवृद्धिः,-,"It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications.",-,Aggravation of vata pattern (TM2),Increased vāta (TM2),Primary
8,8,SR10  (AAA-2.1),vAtaprakopaH,(a) vātaprakopaḥ,वातप्रकोपः,-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,-,Vitiation of vāta pattern (TM2),-,Primary
9,9,AAA-2.2,prANavAtakopaH,prāṇavātakōpaḥ,प्राणवातकोपः,-,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough]",-,vitiated prāṇavāyu,-,-
10,10,AAA-2.3,udAnavAtakopaH,udānavātakōpaḥ,उदानवातकोपः,-,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck]",-,vitiated udānavāyu,-,-
11,11,AAA-2.4,vyAnavAtakopaH,vyānavātakōpaḥ,व्यानवातकोपः,-,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body]",-,vitiated vyānavāyu,-,-
12,12,AAA-2.5,samAnavAtakopaH,samānavātakōpaḥ,समानवातकोपः,-,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya]",-,vitiation of Samāna Vāyu,-,-
